episode,timestamp,success_rate,episode_reward,intercept_success,intercept_fail,enemy_missiles,defense_missiles,territory_hits,avg_prediction_error,policy_loss,value_loss,epsilon,learning_rate
0,1769413026.9682825,0.0000,-156.07,0,2,10,0,0,0.00,0.000000,0.000000,0.3030,0.001000
1,1769413075.8463583,0.0000,-231.79,0,4,10,0,0,0.00,0.000000,0.000000,0.3060,0.001000
2,1769413124.7640483,0.0000,-152.38,0,2,10,0,0,0.00,0.000000,0.000000,0.3091,0.001000
3,1769413174.1742733,0.0000,-311.01,0,4,10,0,0,0.00,0.000000,0.000000,0.3122,0.001000
4,1769413223.9321418,0.0000,-155.13,0,4,10,0,0,0.00,0.000000,0.000000,0.3153,0.001000
5,1769413273.27226,0.0000,-152.76,0,3,10,0,0,0.00,0.000000,0.000000,0.3185,0.001000
6,1769413322.8359427,0.0000,-155.99,0,2,10,0,0,0.00,0.000000,0.000000,0.3216,0.001000
7,1769413372.1866548,0.0000,-312.82,0,6,10,0,0,0.00,0.000000,0.000000,0.3249,0.001000
8,1769413421.6616023,0.0000,-154.91,0,3,10,0,0,0.00,0.000000,0.000000,0.3281,0.001000
9,1769413469.6476002,0.0000,-463.39,0,6,10,0,0,0.00,0.000000,0.000000,0.3314,0.001000
10,1769413518.4253657,0.0000,-236.27,0,3,10,0,0,0.00,0.000000,0.000000,0.3347,0.001000
11,1769413566.526921,0.0000,-152.20,0,2,10,0,0,0.00,0.000000,0.000000,0.3380,0.001000
12,1769413614.5698516,0.0000,-77.38,0,2,10,0,0,0.00,0.000000,0.000000,0.3414,0.001000
13,1769413663.37679,0.0000,-307.93,0,5,10,0,0,0.00,0.000000,0.000000,0.3448,0.001000
14,1769413711.4315403,0.0000,-229.40,0,3,10,0,0,0.00,0.000000,0.000000,0.3483,0.001000
15,1769413765.4489,0.0000,-76.81,0,2,10,1,0,0.00,0.000000,0.000000,0.3518,0.001000
16,1769413813.9177353,0.0000,-229.46,0,4,10,0,0,0.00,0.000000,0.000000,0.3553,0.001000
17,1769413862.419322,0.0000,-311.53,0,5,10,0,0,0.00,0.000000,0.000000,0.3588,0.001000
18,1769413911.97222,0.0000,-152.39,0,2,10,0,0,0.00,0.000000,0.000000,0.3624,0.001000
19,1769413961.0920653,0.0000,-306.15,0,6,10,0,0,0.00,0.000000,0.000000,0.3661,0.001000
20,1769414010.725866,0.0000,-154.09,0,2,10,0,0,0.00,0.000000,0.000000,0.3697,0.001000
21,1769414059.9063773,0.0000,-156.76,0,2,10,0,0,0.00,0.000000,0.000000,0.3734,0.001000
22,1769414108.9363844,0.0000,-153.29,0,2,10,0,0,0.00,0.000000,0.000000,0.3771,0.001000
23,1769414157.5731206,0.0000,-308.78,0,4,10,0,0,0.00,0.000000,0.000000,0.3809,0.001000
24,1769414206.2099135,0.0000,-228.79,0,3,10,0,0,0.00,0.000000,0.000000,0.3847,0.001000
25,1769414255.5136468,0.0000,-229.70,0,4,10,0,0,0.00,0.000000,0.000000,0.3886,0.001000
26,1769414305.9268508,0.0000,-228.93,0,3,10,0,0,0.00,0.000000,0.000000,0.3925,0.001000
27,1769414355.9561715,0.0000,-155.79,0,2,10,0,0,0.00,0.000000,0.000000,0.3964,0.001000
28,1769414413.0321274,0.0000,-230.50,0,3,10,0,0,0.00,0.000000,0.000000,0.4004,0.001000
29,1769414468.0998852,0.0000,-77.57,0,2,10,0,0,0.00,0.000000,0.000000,0.4044,0.001000
30,1769414518.8420863,0.0000,-230.36,0,4,10,0,0,0.00,0.000000,0.000000,0.4084,0.001000
31,1769414566.5963976,0.0000,-154.87,0,2,10,0,0,0.00,0.000000,0.000000,0.4125,0.001000
32,1769414616.8751655,0.0000,-153.95,0,3,10,0,0,0.00,0.000000,0.000000,0.4166,0.001000
33,1769414668.6782715,0.0000,-232.24,0,3,10,0,0,0.00,0.000000,0.000000,0.4208,0.001000
34,1769414719.77355,0.0000,-231.70,0,3,10,0,0,0.00,0.000000,0.000000,0.4250,0.001000
35,1769414773.2778938,0.0000,-230.57,0,3,10,0,0,0.00,0.000000,0.000000,0.4292,0.001000
36,1769414823.5722146,0.0000,-151.48,0,2,10,0,0,0.00,0.000000,0.000000,0.4335,0.001000
37,1769414873.0074537,0.0000,-232.04,0,3,10,0,0,0.00,0.000000,0.000000,0.4379,0.001000
38,1769414924.9027183,0.0000,-306.48,0,4,10,0,0,0.00,0.000000,0.000000,0.4422,0.001000
39,1769414976.7409976,0.0000,-231.93,0,4,10,0,0,0.00,0.000000,0.000000,0.4467,0.001000
40,1769415026.3011794,0.0000,-154.63,0,2,10,0,0,0.00,0.000000,0.000000,0.4511,0.001000
41,1769415078.5053177,0.0000,-231.90,0,5,10,0,0,0.00,0.000000,0.000000,0.4556,0.001000
42,1769415128.7141018,0.0000,-387.41,0,5,10,0,0,0.00,0.000000,0.000000,0.4602,0.001000
43,1769415180.633055,0.0000,-311.20,0,5,10,0,0,0.00,0.000000,0.000000,0.4648,0.001000
44,1769415236.3684754,0.0000,-76.95,0,2,10,0,0,0.00,0.000000,0.000000,0.4694,0.001000
45,1769415293.2676756,0.0000,-309.76,0,4,10,0,0,0.00,0.000000,0.000000,0.4741,0.001000
46,1769415350.5669281,0.0000,-76.79,0,1,10,0,0,0.00,0.000000,0.000000,0.4789,0.001000
47,1769415406.7067003,0.0000,-232.21,0,3,10,0,0,0.00,0.000000,0.000000,0.4837,0.001000
48,1769415458.3367035,0.0000,-234.49,0,3,10,0,0,0.00,0.000000,0.000000,0.4885,0.001000
49,1769415515.2806063,0.0000,-75.50,0,1,10,0,0,0.00,0.000000,0.000000,0.4934,0.001000
50,1769415574.9943218,0.0000,-76.46,0,3,10,1,0,0.00,0.000000,0.000000,0.4983,0.001000
51,1769415632.1683562,0.0000,-157.54,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
52,1769415689.0031686,0.0000,-231.69,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
53,1769415746.9115484,0.0000,-77.21,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
54,1769415805.1232827,0.0000,-151.89,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
55,1769415864.5542293,0.0000,-154.08,0,5,10,1,0,0.00,0.000000,0.000000,0.5000,0.001000
56,1769415922.8420727,0.0000,-230.82,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
57,1769415979.7087626,0.0000,-155.79,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
58,1769416037.2509258,0.0000,-154.50,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
59,1769416095.1060956,0.0000,-229.36,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
60,1769416153.090961,0.0000,-233.93,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
61,1769416210.3053217,0.0000,-543.91,0,7,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
62,1769416266.1894329,0.0000,-232.29,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
63,1769416321.743493,0.0000,-74.50,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
64,1769416376.3705213,0.0000,-152.32,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
65,1769416431.4063137,0.0000,-153.58,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
66,1769416486.2185469,0.0000,-234.53,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
67,1769416539.8765538,0.0000,-156.21,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
68,1769416593.4551306,0.0000,-155.17,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
69,1769416647.407544,0.0000,-233.23,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
70,1769416701.559823,0.0000,-156.25,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
71,1769416756.0201793,0.0000,-231.67,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
72,1769416813.06169,0.0000,-73.76,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
73,1769416869.7910738,0.0000,-228.82,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
74,1769416925.8803933,0.0000,-231.25,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
75,1769416980.6076634,0.0000,-230.06,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.001000
